x	y	network	task
167	114	PPI	Subsampled holdout
244	172	PPI	Subsampled holdout
73	50	PPI	Subsampled holdout
349	249	PPI	Subsampled holdout
272	190	PPI	Subsampled holdout
266	179	PPI	Subsampled holdout
190	131	PPI	Subsampled holdout
134	97	PPI	Subsampled holdout
586	403	PPI	Subsampled holdout
520	380	PPI	Subsampled holdout
169	117	PPI	Subsampled holdout
312	216	PPI	Subsampled holdout
286	182	PPI	Subsampled holdout
249	182	PPI	Subsampled holdout
262	187	PPI	Subsampled holdout
19	16	PPI	Subsampled holdout
117	88	PPI	Subsampled holdout
9	4	PPI	Subsampled holdout
394	278	PPI	Subsampled holdout
60	44	PPI	Subsampled holdout
77	59	PPI	Subsampled holdout
52	33	PPI	Subsampled holdout
50	34	PPI	Subsampled holdout
39	32	PPI	Subsampled holdout
51	37	PPI	Subsampled holdout
132	99	PPI	Subsampled holdout
55	37	PPI	Subsampled holdout
31	24	PPI	Subsampled holdout
128	81	PPI	Subsampled holdout
253	179	PPI	Subsampled holdout
94	62	PPI	Subsampled holdout
98	69	PPI	Subsampled holdout
56	40	PPI	Subsampled holdout
33	17	PPI	Subsampled holdout
28	17	PPI	Subsampled holdout
54	34	PPI	Subsampled holdout
94	71	PPI	Subsampled holdout
30	23	PPI	Subsampled holdout
71	50	PPI	Subsampled holdout
33	20	PPI	Subsampled holdout
92	62	PPI	Subsampled holdout
105	79	PPI	Subsampled holdout
57	46	PPI	Subsampled holdout
89	65	PPI	Subsampled holdout
70	54	PPI	Subsampled holdout
9	8	PPI	Subsampled holdout
58	42	PPI	Subsampled holdout
106	77	PPI	Subsampled holdout
53	36	PPI	Subsampled holdout
48	33	PPI	Subsampled holdout
62	41	PPI	Subsampled holdout
86	55	PPI	Subsampled holdout
194	136	PPI	Subsampled holdout
67	46	PPI	Subsampled holdout
42	33	PPI	Subsampled holdout
15	13	PPI	Subsampled holdout
21	15	PPI	Subsampled holdout
22	13	PPI	Subsampled holdout
41	25	PPI	Subsampled holdout
35	29	PPI	Subsampled holdout
22	14	PPI	Subsampled holdout
256	166	PPI	Subsampled holdout
348	256	PPI	Subsampled holdout
47	29	PPI	Subsampled holdout
24	13	PPI	Subsampled holdout
195	132	PPI	Subsampled holdout
54	39	PPI	Subsampled holdout
87	64	PPI	Subsampled holdout
92	67	PPI	Subsampled holdout
142	95	PPI	Subsampled holdout
29	19	PPI	Subsampled holdout
36	25	PPI	Subsampled holdout
121	94	PPI	Subsampled holdout
68	44	PPI	Subsampled holdout
228	156	PPI	Subsampled holdout
126	82	PPI	Subsampled holdout
230	159	PPI	Subsampled holdout
57	38	PPI	Subsampled holdout
19	13	PPI	Subsampled holdout
132	91	PPI	Subsampled holdout
210	135	PPI	Subsampled holdout
66	48	PPI	Subsampled holdout
165	113	PPI	Subsampled holdout
106	83	PPI	Subsampled holdout
84	61	PPI	Subsampled holdout
96	71	PPI	Subsampled holdout
127	99	PPI	Subsampled holdout
46	32	PPI	Subsampled holdout
202	135	PPI	Subsampled holdout
4	4	PPI	Subsampled holdout
55	39	PPI	Subsampled holdout
27	15	PPI	Subsampled holdout
60	38	PPI	Subsampled holdout
60	45	PPI	Subsampled holdout
83	61	PPI	Subsampled holdout
125	80	PPI	Subsampled holdout
18	10	PPI	Subsampled holdout
13	8	PPI	Subsampled holdout
15	11	PPI	Subsampled holdout
169	120	PPI	Subsampled holdout
150	103	PPI	Subsampled holdout
136	91	PPI	Subsampled holdout
60	45	PPI	Subsampled holdout
42	28	PPI	Subsampled holdout
20	14	PPI	Subsampled holdout
62	43	PPI	Subsampled holdout
54	39	PPI	Subsampled holdout
98	61	PPI	Subsampled holdout
162	120	PPI	Subsampled holdout
71	49	PPI	Subsampled holdout
3	2	PPI	Subsampled holdout
156	110	PPI	Subsampled holdout
6	5	PPI	Subsampled holdout
48	34	PPI	Subsampled holdout
121	95	PPI	Subsampled holdout
106	65	PPI	Subsampled holdout
153	103	PPI	Subsampled holdout
89	61	PPI	Subsampled holdout
32	19	PPI	Subsampled holdout
13	10	PPI	Subsampled holdout
77	47	PPI	Subsampled holdout
18	13	PPI	Subsampled holdout
13	11	PPI	Subsampled holdout
11	10	PPI	Subsampled holdout
194	135	PPI	Subsampled holdout
117	87	PPI	Subsampled holdout
20	13	PPI	Subsampled holdout
42	27	PPI	Subsampled holdout
110	82	PPI	Subsampled holdout
140	101	PPI	Subsampled holdout
269	189	PPI	Subsampled holdout
97	74	PPI	Subsampled holdout
124	88	PPI	Subsampled holdout
37	28	PPI	Subsampled holdout
30	21	PPI	Subsampled holdout
8	5	PPI	Subsampled holdout
194	140	PPI	Subsampled holdout
26	17	PPI	Subsampled holdout
39	22	PPI	Subsampled holdout
38	23	PPI	Subsampled holdout
57	36	PPI	Subsampled holdout
39	29	PPI	Subsampled holdout
11	7	PPI	Subsampled holdout
21	15	PPI	Subsampled holdout
39	28	PPI	Subsampled holdout
20	18	PPI	Subsampled holdout
267	185	PPI	Subsampled holdout
33	23	PPI	Subsampled holdout
128	83	PPI	Subsampled holdout
42	30	PPI	Subsampled holdout
78	58	PPI	Subsampled holdout
99	75	PPI	Subsampled holdout
55	38	PPI	Subsampled holdout
194	135	PPI	Subsampled holdout
39	27	PPI	Subsampled holdout
38	28	PPI	Subsampled holdout
41	26	PPI	Subsampled holdout
66	43	PPI	Subsampled holdout
190	130	PPI	Subsampled holdout
96	69	PPI	Subsampled holdout
73	49	PPI	Subsampled holdout
166	118	PPI	Subsampled holdout
97	67	PPI	Subsampled holdout
26	18	PPI	Subsampled holdout
52	35	PPI	Subsampled holdout
362	250	PPI	Subsampled holdout
44	29	PPI	Subsampled holdout
38	32	PPI	Subsampled holdout
333	234	PPI	Subsampled holdout
136	97	PPI	Subsampled holdout
14	10	PPI	Subsampled holdout
28	17	PPI	Subsampled holdout
191	138	PPI	Subsampled holdout
214	143	PPI	Subsampled holdout
56	37	PPI	Subsampled holdout
426	286	PPI	Subsampled holdout
4	1	PPI	Subsampled holdout
147	104	PPI	Subsampled holdout
27	19	PPI	Subsampled holdout
109	78	PPI	Subsampled holdout
191	138	PPI	Subsampled holdout
171	115	PPI	Subsampled holdout
109	86	PPI	Subsampled holdout
53	38	PPI	Subsampled holdout
73	45	PPI	Subsampled holdout
14	10	PPI	Subsampled holdout
66	45	PPI	Subsampled holdout
34	24	PPI	Subsampled holdout
27	21	PPI	Subsampled holdout
86	53	PPI	Subsampled holdout
106	71	PPI	Subsampled holdout
292	216	PPI	Subsampled holdout
297	211	PPI	Subsampled holdout
156	105	PPI	Subsampled holdout
122	78	PPI	Subsampled holdout
165	124	PPI	Subsampled holdout
115	77	PPI	Subsampled holdout
70	46	PPI	Subsampled holdout
61	42	PPI	Subsampled holdout
182	130	PPI	Subsampled holdout
72	52	PPI	Subsampled holdout
29	19	PPI	Subsampled holdout
38	25	PPI	Subsampled holdout
95	67	PPI	Subsampled holdout
116	80	PPI	Subsampled holdout
181	124	PPI	Subsampled holdout
58	40	PPI	Subsampled holdout
71	47	PPI	Subsampled holdout
131	89	PPI	Subsampled holdout
92	68	PPI	Subsampled holdout
125	89	PPI	Subsampled holdout
54	40	PPI	Subsampled holdout
178	124	PPI	Subsampled holdout
178	134	PPI	Subsampled holdout
119	93	PPI	Subsampled holdout
98	77	PPI	Subsampled holdout
23	14	PPI	Subsampled holdout
203	136	PPI	Subsampled holdout
50	35	PPI	Subsampled holdout
118	81	PPI	Subsampled holdout
119	82	PPI	Subsampled holdout
55	41	PPI	Subsampled holdout
178	140	PPI	Subsampled holdout
39	27	PPI	Subsampled holdout
101	64	PPI	Subsampled holdout
197	153	PPI	Subsampled holdout
205	143	PPI	Subsampled holdout
98	63	PPI	Subsampled holdout
32	21	PPI	Subsampled holdout
40	24	PPI	Subsampled holdout
107	74	PPI	Subsampled holdout
29	14	PPI	Subsampled holdout
33	23	PPI	Subsampled holdout
45	36	PPI	Subsampled holdout
9	4	PPI	Subsampled holdout
33	24	PPI	Subsampled holdout
76	56	PPI	Subsampled holdout
17	13	PPI	Subsampled holdout
16	12	PPI	Subsampled holdout
133	93	PPI	Subsampled holdout
186	134	PPI	Subsampled holdout
31	23	PPI	Subsampled holdout
46	35	PPI	Subsampled holdout
147	102	PPI	Subsampled holdout
13	6	PPI	Subsampled holdout
279	197	PPI	Subsampled holdout
330	228	PPI	Subsampled holdout
188	127	PPI	Subsampled holdout
67	47	PPI	Subsampled holdout
127	79	PPI	Subsampled holdout
294	205	PPI	Subsampled holdout
371	252	PPI	Subsampled holdout
36	25	PPI	Subsampled holdout
64	45	PPI	Subsampled holdout
96	71	PPI	Subsampled holdout
49	32	PPI	Subsampled holdout
38	29	PPI	Subsampled holdout
54	37	PPI	Subsampled holdout
13	9	PPI	Subsampled holdout
91	68	PPI	Subsampled holdout
39	27	PPI	Subsampled holdout
93	62	PPI	Subsampled holdout
236	155	PPI	Subsampled holdout
21	14	PPI	Subsampled holdout
53	36	PPI	Subsampled holdout
61	47	PPI	Subsampled holdout
85	61	PPI	Subsampled holdout
43	25	PPI	Subsampled holdout
154	109	PPI	Subsampled holdout
84	59	PPI	Subsampled holdout
301	221	PPI	Subsampled holdout
9	8	PPI	Subsampled holdout
36	26	PPI	Subsampled holdout
20	13	PPI	Subsampled holdout
21	19	PPI	Subsampled holdout
163	118	PPI	Subsampled holdout
74	47	PPI	Subsampled holdout
221	139	PPI	Subsampled holdout
39	30	PPI	Subsampled holdout
111	79	PPI	Subsampled holdout
310	210	PPI	Subsampled holdout
150	107	PPI	Subsampled holdout
83	59	PPI	Subsampled holdout
33	29	PPI	Subsampled holdout
182	125	PPI	Subsampled holdout
99	72	PPI	Subsampled holdout
192	135	PPI	Subsampled holdout
24	18	PPI	Subsampled holdout
243	180	PPI	Subsampled holdout
191	134	PPI	Subsampled holdout
99	71	PPI	Subsampled holdout
122	80	PPI	Subsampled holdout
154	107	PPI	Subsampled holdout
155	115	PPI	Subsampled holdout
49	36	PPI	Subsampled holdout
10	6	PPI	Subsampled holdout
73	49	PPI	Subsampled holdout
54	34	PPI	Subsampled holdout
239	163	PPI	Subsampled holdout
76	48	PPI	Subsampled holdout
293	192	PPI	Subsampled holdout
76	55	PPI	Subsampled holdout
21	18	PPI	Subsampled holdout
111	79	PPI	Subsampled holdout
24	14	PPI	Subsampled holdout
19	16	PPI	Subsampled holdout
48	33	PPI	Subsampled holdout
51	41	PPI	Subsampled holdout
169	132	PPI	Subsampled holdout
81	58	PPI	Subsampled holdout
35	24	PPI	Subsampled holdout
167	122	PPI	Subsampled holdout
103	72	PPI	Subsampled holdout
109	75	PPI	Subsampled holdout
135	99	PPI	Subsampled holdout
97	69	PPI	Subsampled holdout
36	27	PPI	Subsampled holdout
30	18	PPI	Subsampled holdout
132	90	PPI	Subsampled holdout
253	180	PPI	Subsampled holdout
44	31	PPI	Subsampled holdout
236	168	PPI	Subsampled holdout
85	63	PPI	Subsampled holdout
29	21	PPI	Subsampled holdout
36	25	PPI	Subsampled holdout
9	5	PPI	Subsampled holdout
53	43	PPI	Subsampled holdout
45	32	PPI	Subsampled holdout
62	43	PPI	Subsampled holdout
39	27	PPI	Subsampled holdout
11	8	PPI	Subsampled holdout
22	10	PPI	Subsampled holdout
35	24	PPI	Subsampled holdout
60	38	PPI	Subsampled holdout
46	37	PPI	Subsampled holdout
56	42	PPI	Subsampled holdout
208	140	PPI	Subsampled holdout
173	126	PPI	Subsampled holdout
69	50	PPI	Subsampled holdout
82	61	PPI	Subsampled holdout
66	41	PPI	Subsampled holdout
31	22	PPI	Subsampled holdout
481	339	PPI	Subsampled holdout
78	54	PPI	Subsampled holdout
122	87	PPI	Subsampled holdout
327	221	PPI	Subsampled holdout
174	120	PPI	Subsampled holdout
251	180	PPI	Subsampled holdout
89	70	PPI	Subsampled holdout
29	20	PPI	Subsampled holdout
104	75	PPI	Subsampled holdout
172	122	PPI	Subsampled holdout
70	44	PPI	Subsampled holdout
50	30	PPI	Subsampled holdout
39	27	PPI	Subsampled holdout
154	111	PPI	Subsampled holdout
120	88	PPI	Subsampled holdout
22	18	PPI	Subsampled holdout
115	75	PPI	Subsampled holdout
228	163	PPI	Subsampled holdout
145	96	PPI	Subsampled holdout
26	14	PPI	Subsampled holdout
364	259	PPI	Subsampled holdout
138	91	PPI	Subsampled holdout
409	283	PPI	Subsampled holdout
40	27	PPI	Subsampled holdout
246	176	PPI	Subsampled holdout
232	163	PPI	Subsampled holdout
41	29	PPI	Subsampled holdout
40	24	PPI	Subsampled holdout
50	37	PPI	Subsampled holdout
37	26	PPI	Subsampled holdout
106	72	PPI	Subsampled holdout
172	129	PPI	Subsampled holdout
95	69	PPI	Subsampled holdout
299	198	PPI	Subsampled holdout
65	45	PPI	Subsampled holdout
54	41	PPI	Subsampled holdout
205	130	PPI	Subsampled holdout
63	49	PPI	Subsampled holdout
21	14	PPI	Subsampled holdout
28	17	PPI	Subsampled holdout
311	213	PPI	Subsampled holdout
215	144	PPI	Subsampled holdout
29	25	PPI	Subsampled holdout
36	29	PPI	Subsampled holdout
39	29	PPI	Subsampled holdout
256	186	PPI	Subsampled holdout
225	157	PPI	Subsampled holdout
71	44	PPI	Subsampled holdout
37	23	PPI	Subsampled holdout
104	66	PPI	Subsampled holdout
224	154	PPI	Subsampled holdout
72	47	PPI	Subsampled holdout
92	60	PPI	Subsampled holdout
98	70	PPI	Subsampled holdout
73	45	PPI	Subsampled holdout
81	59	PPI	Subsampled holdout
86	61	PPI	Subsampled holdout
49	38	PPI	Subsampled holdout
106	78	PPI	Subsampled holdout
152	112	PPI	Subsampled holdout
56	33	PPI	Subsampled holdout
40	27	PPI	Subsampled holdout
105	69	PPI	Subsampled holdout
72	53	PPI	Subsampled holdout
20	13	PPI	Subsampled holdout
211	140	PPI	Subsampled holdout
95	67	PPI	Subsampled holdout
52	37	PPI	Subsampled holdout
39	30	PPI	Subsampled holdout
65	46	PPI	Subsampled holdout
50	33	PPI	Subsampled holdout
374	281	PPI	Subsampled holdout
128	92	PPI	Subsampled holdout
94	61	PPI	Subsampled holdout
111	88	PPI	Subsampled holdout
265	184	PPI	Subsampled holdout
62	44	PPI	Subsampled holdout
182	139	PPI	Subsampled holdout
16	13	PPI	Subsampled holdout
93	69	PPI	Subsampled holdout
32	21	PPI	Subsampled holdout
148	106	PPI	Subsampled holdout
120	83	PPI	Subsampled holdout
172	124	PPI	Subsampled holdout
214	161	PPI	Subsampled holdout
110	68	PPI	Subsampled holdout
35	23	PPI	Subsampled holdout
164	120	PPI	Subsampled holdout
132	94	PPI	Subsampled holdout
121	83	PPI	Subsampled holdout
123	89	PPI	Subsampled holdout
62	41	PPI	Subsampled holdout
74	53	PPI	Subsampled holdout
25	19	PPI	Subsampled holdout
156	106	PPI	Subsampled holdout
26	20	PPI	Subsampled holdout
239	170	PPI	Subsampled holdout
83	61	PPI	Subsampled holdout
185	122	PPI	Subsampled holdout
75	54	PPI	Subsampled holdout
49	38	PPI	Subsampled holdout
142	100	PPI	Subsampled holdout
103	62	PPI	Subsampled holdout
31	22	PPI	Subsampled holdout
103	75	PPI	Subsampled holdout
79	57	PPI	Subsampled holdout
49	41	PPI	Subsampled holdout
51	36	PPI	Subsampled holdout
2	1	PPI	Subsampled holdout
201	142	PPI	Subsampled holdout
109	78	PPI	Subsampled holdout
40	23	PPI	Subsampled holdout
59	43	PPI	Subsampled holdout
42	33	PPI	Subsampled holdout
68	44	PPI	Subsampled holdout
45	29	PPI	Subsampled holdout
195	140	PPI	Subsampled holdout
26	18	PPI	Subsampled holdout
12	7	PPI	Subsampled holdout
52	31	PPI	Subsampled holdout
124	81	PPI	Subsampled holdout
225	149	PPI	Subsampled holdout
47	33	PPI	Subsampled holdout
259	181	PPI	Subsampled holdout
98	74	PPI	Subsampled holdout
143	111	PPI	Subsampled holdout
261	180	PPI	Subsampled holdout
25	12	PPI	Subsampled holdout
16	11	PPI	Subsampled holdout
187	131	PPI	Subsampled holdout
176	128	PPI	Subsampled holdout
190	138	PPI	Subsampled holdout
146	107	PPI	Subsampled holdout
62	39	PPI	Subsampled holdout
67	51	PPI	Subsampled holdout
81	57	PPI	Subsampled holdout
107	63	PPI	Subsampled holdout
44	33	PPI	Subsampled holdout
79	54	PPI	Subsampled holdout
219	157	PPI	Subsampled holdout
69	54	PPI	Subsampled holdout
311	232	PPI	Subsampled holdout
110	81	PPI	Subsampled holdout
95	66	PPI	Subsampled holdout
117	85	PPI	Subsampled holdout
77	52	PPI	Subsampled holdout
142	96	PPI	Subsampled holdout
80	48	PPI	Subsampled holdout
189	128	PPI	Subsampled holdout
92	70	PPI	Subsampled holdout
58	45	PPI	Subsampled holdout
68	53	PPI	Subsampled holdout
119	88	PPI	Subsampled holdout
104	73	PPI	Subsampled holdout
66	52	PPI	Subsampled holdout
63	47	PPI	Subsampled holdout
71	51	PPI	Subsampled holdout
43	29	PPI	Subsampled holdout
36	29	PPI	Subsampled holdout
96	67	PPI	Subsampled holdout
173	122	PPI	Subsampled holdout
22	16	PPI	Subsampled holdout
53	39	PPI	Subsampled holdout
146	93	PPI	Subsampled holdout
128	92	PPI	Subsampled holdout
112	73	PPI	Subsampled holdout
62	41	PPI	Subsampled holdout
73	52	PPI	Subsampled holdout
227	162	PPI	Subsampled holdout
49	39	PPI	Subsampled holdout
144	107	PPI	Subsampled holdout
144	99	PPI	Subsampled holdout
3	3	PPI	Subsampled holdout
46	28	PPI	Subsampled holdout
31	21	PPI	Subsampled holdout
33	24	PPI	Subsampled holdout
111	69	PPI	Subsampled holdout
133	82	PPI	Subsampled holdout
26	18	PPI	Subsampled holdout
273	208	PPI	Subsampled holdout
59	43	PPI	Subsampled holdout
99	69	PPI	Subsampled holdout
28	20	PPI	Subsampled holdout
401	295	PPI	Subsampled holdout
103	74	PPI	Subsampled holdout
255	178	PPI	Subsampled holdout
12	11	PPI	Subsampled holdout
33	21	PPI	Subsampled holdout
58	37	PPI	Subsampled holdout
77	53	PPI	Subsampled holdout
126	86	PPI	Subsampled holdout
219	151	PPI	Subsampled holdout
34	24	PPI	Subsampled holdout
67	46	PPI	Subsampled holdout
8	5	PPI	Subsampled holdout
149	111	PPI	Subsampled holdout
31	22	PPI	Subsampled holdout
23	17	PPI	Subsampled holdout
74	51	PPI	Subsampled holdout
36	21	PPI	Subsampled holdout
23	14	PPI	Subsampled holdout
6	4	PPI	Subsampled holdout
24	19	PPI	Subsampled holdout
49	41	PPI	Subsampled holdout
18	14	PPI	Subsampled holdout
51	34	PPI	Subsampled holdout
10	5	PPI	Subsampled holdout
50	38	PPI	Subsampled holdout
131	93	PPI	Subsampled holdout
65	50	PPI	Subsampled holdout
111	77	PPI	Subsampled holdout
289	201	PPI	Subsampled holdout
164	103	PPI	Subsampled holdout
8	6	PPI	Subsampled holdout
9	7	PPI	Subsampled holdout
68	46	PPI	Subsampled holdout
29	23	PPI	Subsampled holdout
30	25	PPI	Subsampled holdout
105	79	PPI	Subsampled holdout
9	5	PPI	Subsampled holdout
28	21	PPI	Subsampled holdout
59	39	PPI	Subsampled holdout
48	34	PPI	Subsampled holdout
84	63	PPI	Subsampled holdout
139	91	PPI	Subsampled holdout
41	32	PPI	Subsampled holdout
28	21	PPI	Subsampled holdout
32	26	PPI	Subsampled holdout
226	157	PPI	Subsampled holdout
117	76	PPI	Subsampled holdout
51	36	PPI	Subsampled holdout
35	29	PPI	Subsampled holdout
96	68	PPI	Subsampled holdout
254	178	PPI	Subsampled holdout
140	104	PPI	Subsampled holdout
249	180	PPI	Subsampled holdout
153	109	PPI	Subsampled holdout
123	88	PPI	Subsampled holdout
37	28	PPI	Subsampled holdout
105	76	PPI	Subsampled holdout
305	207	PPI	Subsampled holdout
78	57	PPI	Subsampled holdout
252	168	PPI	Subsampled holdout
59	43	PPI	Subsampled holdout
182	133	PPI	Subsampled holdout
99	71	PPI	Subsampled holdout
34	28	PPI	Subsampled holdout
184	121	PPI	Subsampled holdout
136	95	PPI	Subsampled holdout
126	85	PPI	Subsampled holdout
119	83	PPI	Subsampled holdout
143	90	PPI	Subsampled holdout
86	58	PPI	Subsampled holdout
39	20	PPI	Subsampled holdout
33	22	PPI	Subsampled holdout
31	22	PPI	Subsampled holdout
58	38	PPI	Subsampled holdout
180	125	PPI	Subsampled holdout
64	47	PPI	Subsampled holdout
16	11	PPI	Subsampled holdout
61	43	PPI	Subsampled holdout
43	30	PPI	Subsampled holdout
62	44	PPI	Subsampled holdout
142	101	PPI	Subsampled holdout
78	57	PPI	Subsampled holdout
158	108	PPI	Subsampled holdout
130	89	PPI	Subsampled holdout
108	75	PPI	Subsampled holdout
82	58	PPI	Subsampled holdout
80	55	PPI	Subsampled holdout
66	38	PPI	Subsampled holdout
125	76	PPI	Subsampled holdout
55	42	PPI	Subsampled holdout
47	34	PPI	Subsampled holdout
15	9	PPI	Subsampled holdout
47	35	PPI	Subsampled holdout
34	26	PPI	Subsampled holdout
42	29	PPI	Subsampled holdout
100	69	PPI	Subsampled holdout
37	31	PPI	Subsampled holdout
67	48	PPI	Subsampled holdout
27	23	PPI	Subsampled holdout
196	141	PPI	Subsampled holdout
80	57	PPI	Subsampled holdout
232	163	PPI	Subsampled holdout
42	24	PPI	Subsampled holdout
33	23	PPI	Subsampled holdout
41	32	PPI	Subsampled holdout
41	27	PPI	Subsampled holdout
16	13	PPI	Subsampled holdout
71	53	PPI	Subsampled holdout
72	54	PPI	Subsampled holdout
268	189	PPI	Subsampled holdout
346	237	PPI	Subsampled holdout
33	20	PPI	Subsampled holdout
50	39	PPI	Subsampled holdout
20	14	PPI	Subsampled holdout
75	56	PPI	Subsampled holdout
46	31	PPI	Subsampled holdout
459	322	PPI	Subsampled holdout
190	134	PPI	Subsampled holdout
31	24	PPI	Subsampled holdout
44	33	PPI	Subsampled holdout
18	16	PPI	Subsampled holdout
56	36	PPI	Subsampled holdout
97	67	PPI	Subsampled holdout
12	7	PPI	Subsampled holdout
32	22	PPI	Subsampled holdout
69	54	PPI	Subsampled holdout
449	304	PPI	Subsampled holdout
100	66	PPI	Subsampled holdout
65	43	PPI	Subsampled holdout
31	22	PPI	Subsampled holdout
64	44	PPI	Subsampled holdout
43	31	PPI	Subsampled holdout
44	31	PPI	Subsampled holdout
47	33	PPI	Subsampled holdout
48	39	PPI	Subsampled holdout
102	69	PPI	Subsampled holdout
141	105	PPI	Subsampled holdout
70	49	PPI	Subsampled holdout
36	22	PPI	Subsampled holdout
41	27	PPI	Subsampled holdout
25	18	PPI	Subsampled holdout
259	186	PPI	Subsampled holdout
72	53	PPI	Subsampled holdout
79	58	PPI	Subsampled holdout
71	47	PPI	Subsampled holdout
34	24	PPI	Subsampled holdout
70	54	PPI	Subsampled holdout
342	227	PPI	Subsampled holdout
81	61	PPI	Subsampled holdout
57	39	PPI	Subsampled holdout
23	18	PPI	Subsampled holdout
49	37	PPI	Subsampled holdout
52	44	PPI	Subsampled holdout
17	9	PPI	Subsampled holdout
32	23	PPI	Subsampled holdout
223	159	PPI	Subsampled holdout
447	324	PPI	Subsampled holdout
18	11	PPI	Subsampled holdout
68	42	PPI	Subsampled holdout
58	41	PPI	Subsampled holdout
288	206	PPI	Subsampled holdout
89	62	PPI	Subsampled holdout
13	9	PPI	Subsampled holdout
49	29	PPI	Subsampled holdout
403	279	PPI	Subsampled holdout
150	104	PPI	Subsampled holdout
136	97	PPI	Subsampled holdout
106	80	PPI	Subsampled holdout
104	69	PPI	Subsampled holdout
73	48	PPI	Subsampled holdout
11	8	PPI	Subsampled holdout
22	12	PPI	Subsampled holdout
14	10	PPI	Subsampled holdout
16	14	PPI	Subsampled holdout
60	41	PPI	Subsampled holdout
42	28	PPI	Subsampled holdout
59	45	PPI	Subsampled holdout
17	15	PPI	Subsampled holdout
48	31	PPI	Subsampled holdout
56	43	PPI	Subsampled holdout
189	137	PPI	Subsampled holdout
81	60	PPI	Subsampled holdout
98	72	PPI	Subsampled holdout
158	114	PPI	Subsampled holdout
100	75	PPI	Subsampled holdout
37	18	PPI	Subsampled holdout
103	75	PPI	Subsampled holdout
183	129	PPI	Subsampled holdout
129	92	PPI	Subsampled holdout
99	68	PPI	Subsampled holdout
22	12	PPI	Subsampled holdout
29	21	PPI	Subsampled holdout
124	87	PPI	Subsampled holdout
86	65	PPI	Subsampled holdout
254	181	PPI	Subsampled holdout
116	81	PPI	Subsampled holdout
152	111	PPI	Subsampled holdout
31	21	PPI	Subsampled holdout
148	100	PPI	Subsampled holdout
56	39	PPI	Subsampled holdout
77	53	PPI	Subsampled holdout
115	76	PPI	Subsampled holdout
44	31	PPI	Subsampled holdout
114	76	PPI	Subsampled holdout
187	141	PPI	Subsampled holdout
142	99	PPI	Subsampled holdout
67	47	PPI	Subsampled holdout
170	113	PPI	Subsampled holdout
229	152	PPI	Subsampled holdout
223	165	PPI	Subsampled holdout
158	114	PPI	Subsampled holdout
28	22	PPI	Subsampled holdout
98	62	PPI	Subsampled holdout
105	65	PPI	Subsampled holdout
65	48	PPI	Subsampled holdout
52	38	PPI	Subsampled holdout
120	85	PPI	Subsampled holdout
80	61	PPI	Subsampled holdout
556	417	PPI	Subsampled holdout
220	154	PPI	Subsampled holdout
46	35	PPI	Subsampled holdout
17	8	PPI	Subsampled holdout
236	172	PPI	Subsampled holdout
82	54	PPI	Subsampled holdout
198	143	PPI	Subsampled holdout
305	210	PPI	Subsampled holdout
98	74	PPI	Subsampled holdout
7	6	PPI	Subsampled holdout
32	23	PPI	Subsampled holdout
169	114	PPI	Subsampled holdout
58	39	PPI	Subsampled holdout
323	217	PPI	Subsampled holdout
263	180	PPI	Subsampled holdout
99	63	PPI	Subsampled holdout
43	33	PPI	Subsampled holdout
41	23	PPI	Subsampled holdout
94	61	PPI	Subsampled holdout
34	26	PPI	Subsampled holdout
425	296	PPI	Subsampled holdout
70	47	PPI	Subsampled holdout
378	260	PPI	Subsampled holdout
78	47	PPI	Subsampled holdout
204	145	PPI	Subsampled holdout
48	31	PPI	Subsampled holdout
144	114	PPI	Subsampled holdout
25	17	PPI	Subsampled holdout
33	22	PPI	Subsampled holdout
24	17	PPI	Subsampled holdout
218	151	PPI	Subsampled holdout
61	42	PPI	Subsampled holdout
20	15	PPI	Subsampled holdout
33	25	PPI	Subsampled holdout
47	34	PPI	Subsampled holdout
129	94	PPI	Subsampled holdout
28	23	PPI	Subsampled holdout
21	14	PPI	Subsampled holdout
6	4	PPI	Subsampled holdout
100	75	PPI	Subsampled holdout
52	39	PPI	Subsampled holdout
196	129	PPI	Subsampled holdout
34	26	PPI	Subsampled holdout
54	38	PPI	Subsampled holdout
71	54	PPI	Subsampled holdout
80	53	PPI	Subsampled holdout
149	110	PPI	Subsampled holdout
70	47	PPI	Subsampled holdout
133	92	PPI	Subsampled holdout
98	65	PPI	Subsampled holdout
66	41	PPI	Subsampled holdout
143	100	PPI	Subsampled holdout
86	60	PPI	Subsampled holdout
62	46	PPI	Subsampled holdout
30	20	PPI	Subsampled holdout
52	35	PPI	Subsampled holdout
170	117	PPI	Subsampled holdout
33	25	PPI	Subsampled holdout
6	5	PPI	Subsampled holdout
78	57	PPI	Subsampled holdout
189	134	PPI	Subsampled holdout
28	20	PPI	Subsampled holdout
171	125	PPI	Subsampled holdout
81	59	PPI	Subsampled holdout
79	54	PPI	Subsampled holdout
125	87	PPI	Subsampled holdout
145	103	PPI	Subsampled holdout
33	24	PPI	Subsampled holdout
67	48	PPI	Subsampled holdout
157	112	PPI	Subsampled holdout
300	225	PPI	Subsampled holdout
83	55	PPI	Subsampled holdout
379	261	PPI	Subsampled holdout
135	99	PPI	Subsampled holdout
95	64	PPI	Subsampled holdout
269	194	PPI	Subsampled holdout
28	21	PPI	Subsampled holdout
156	114	PPI	Subsampled holdout
132	94	PPI	Subsampled holdout
24	17	PPI	Subsampled holdout
