expected_frac	lower_ci	upper_ci	feature	feature_value	metaedge
0.7848019	0.78201777	0.7875732	Approximate prior	0.5312899296768622	AeG
0.8835065	0.88133115	0.8856646	Approximate prior	0.5995471892112868	AeG
0.9140053	0.91210485	0.9158872	Approximate prior	0.6821921220774124	AeG
0.98549837	0.9846788	0.986296	Approximate prior	0.7895864740541715	AeG
2.1767523e-4	2.1384191e-7	0.0010933346	Edge prior	1.0017421602787471e-4	AlD
0.0028463	2.0520511e-4	0.008851142	Edge prior	0.002851711026615958	AlD
0.00867052	0.002611982	0.018255452	Edge prior	0.004305019305019321	AlD
0.002631579	1.8969217e-4	0.008184702	Edge prior	0.0055008787346221295	AlD
0.011524823	0.0044601597	0.02183394	Edge prior	0.0064120781527530766	AlD
0.022131147	0.012016671	0.03519865	Edge prior	0.007389162561576386	AlD
0.009240246	0.0027843467	0.019450016	Edge prior	0.008271604938271587	AlD
0.008806262	0.0026530412	0.018540123	Edge prior	0.009078431372548984	AlD
0.009878419	0.0038205602	0.018726427	Edge prior	0.010502283105022795	AlD
0.0065789474	0.0015937004	0.014999944	Edge prior	0.011318267419962348	AlD
0.012222222	0.004261491	0.024234701	Edge prior	0.011870824053452068	AlD
0.009821429	0.0034209583	0.019493425	Edge prior	0.012432915921287953	AlD
0.0046296297	7.7184534e-4	0.011849835	Edge prior	0.01335807050092768	AlD
0.013297873	0.005578132	0.02425563	Edge prior	0.0138010657193607	AlD
0.0114035085	0.0044130036	0.021605097	Edge prior	0.014376098418277665	AlD
0.010054844	0.0035026043	0.019954804	Edge prior	0.015384615384615398	AlD
0.007165605	0.0021571233	0.015097094	Edge prior	0.016443381180223256	AlD
0.023127753	0.01140489	0.03880421	Edge prior	0.017593818984547427	AlD
0.017128874	0.008431182	0.028791066	Edge prior	0.018251633986928098	AlD
0.024084779	0.012724789	0.038900077	Edge prior	0.019285714285714375	AlD
0.025833333	0.014710752	0.039937083	Edge prior	0.01999999999999994	AlD
0.015822785	0.006643324	0.028835423	Edge prior	0.021437632135306604	AlD
0.02072072	0.01059393	0.034099687	Edge prior	0.022093862815884626	AlD
0.018883415	0.009649377	0.031092495	Edge prior	0.022434210526315747	AlD
0.029411765	0.017405903	0.044402834	Edge prior	0.023114478114478126	AlD
0.022151899	0.010920401	0.037177827	Edge prior	0.02399577167019029	AlD
0.017117117	0.008067936	0.029438274	Edge prior	0.025270758122743833	AlD
0.015858209	0.0070940563	0.028015908	Edge prior	0.025831775700934364	AlD
0.03419453	0.021709392	0.049354047	Edge prior	0.027016742770167464	AlD
0.02276867	0.012024993	0.036787782	Edge prior	0.028010948905109523	AlD
0.027102804	0.015103216	0.042435862	Edge prior	0.02949438202247174	AlD
0.025164114	0.012882484	0.0413591	Edge prior	0.030043859649122668	AlD
0.020104894	0.010277223	0.033092096	Edge prior	0.030560420315236418	AlD
0.027358491	0.015246719	0.042833377	Edge prior	0.031077504725897997	AlD
0.04119548	0.027004464	0.0581878	Edge prior	0.03165048543689298	AlD
0.033442087	0.020717578	0.049041096	Edge prior	0.03341503267973868	AlD
0.034232367	0.019923672	0.052187793	Edge prior	0.03465696465696479	AlD
0.04144621	0.026641652	0.059306677	Edge prior	0.03579505300353376	AlD
0.041330647	0.025649335	0.060504798	Edge prior	0.03672727272727275	AlD
0.023364486	0.013807221	0.03532343	Edge prior	0.03820855614973289	AlD
0.037815128	0.020620365	0.059891555	Edge prior	0.03932584269662922	AlD
0.04853621	0.033375513	0.06632738	Edge prior	0.03978395061728355	AlD
0.043438077	0.02793356	0.06213153	Edge prior	0.04037037037037022	AlD
0.037414964	0.021793079	0.056995593	Edge prior	0.04152272727272732	AlD
0.029264214	0.017317973	0.04418161	Edge prior	0.04234505862646599	AlD
0.048902195	0.03180308	0.069404215	Edge prior	0.043299999999999804	AlD
0.026816608	0.015274476	0.041447017	Edge prior	0.04573656845753908	AlD
0.048461538	0.03332372	0.066226214	Edge prior	0.04677966101694867	AlD
0.03325688	0.01856254	0.05198882	Edge prior	0.04774712643678154	AlD
0.054281346	0.038260236	0.07288027	Edge prior	0.04854517611026054	AlD
0.03912214	0.024266876	0.057299428	Edge prior	0.05015296367112842	AlD
0.04403131	0.028012771	0.06342124	Edge prior	0.05168627450980418	AlD
0.055037312	0.037373580000000003	0.07583998	Edge prior	0.052691588785046775	AlD
0.06586271	0.046514984	0.08825723	Edge prior	0.05377323420074334	AlD
0.07793345	0.057405267	0.10125881	Edge prior	0.055403508771929864	AlD
0.06325823	0.044890616	0.08448914	Edge prior	0.05734375000000009	AlD
0.05478502	0.039389838	0.072516225	Edge prior	0.05897222222222221	AlD
0.08026316	0.05514477	0.10955926	Edge prior	0.06018469656992072	AlD
0.05321285	0.035277437	0.074539736	Edge prior	0.061187122736418395	AlD
0.07417103	0.054181848	0.09697225	Edge prior	0.06216783216783236	AlD
0.068396226	0.05011562	0.08924466	Edge prior	0.06313385826771645	AlD
0.07235421	0.050587237	0.097614914	Edge prior	0.06471861471861455	AlD
0.06944445	0.050691556	0.09085932	Edge prior	0.06657937806874001	AlD
0.07232705	0.050858226	0.09718742	Edge prior	0.06796218487394952	AlD
0.067699835	0.04920255	0.08886542	Edge prior	0.070049019607843	AlD
0.07855823	0.057426218	0.10263799	Edge prior	0.07200000000000015	AlD
0.06169429	0.043053415	0.08338817	Edge prior	0.07381918819188137	AlD
0.053816047	0.03598064	0.07495247	Edge prior	0.07562745098039222	AlD
0.07118353	0.051762942	0.09338718	Edge prior	0.0770790378006875	AlD
0.0919244	0.06983541	0.11666743	Edge prior	0.0788640275387262	AlD
0.08744856	0.064014666	0.11409476	Edge prior	0.08125773195876249	AlD
0.083471075	0.062788635	0.10675929	Edge prior	0.0850662251655632	AlD
0.111222446	0.085179776	0.14021458	Edge prior	0.08724899598393569	AlD
0.11363637	0.08850181	0.14143053	Edge prior	0.08867030965391605	AlD
0.08499234	0.06485457	0.10753577	Edge prior	0.09355828220858925	AlD
0.104210526	0.07838598	0.13318904	Edge prior	0.09597046413502108	AlD
0.099820144	0.07632575	0.12603912	Edge prior	0.09852252252252215	AlD
0.079349905	0.05777618	0.10396704	Edge prior	0.10120689655172477	AlD
0.103945374	0.08182795	0.12833823	Edge prior	0.10609422492401205	AlD
0.13263358	0.10498204	0.16293982	Edge prior	0.1091969407265773	AlD
0.14473684	0.11513955	0.17705742	Edge prior	0.11156186612576051	AlD
0.10424354	0.07996134	0.13128991	Edge prior	0.11521256931608154	AlD
0.1155268	0.0899966	0.14374766	Edge prior	0.1192037037037034	AlD
0.13316151	0.10680562	0.16190423	Edge prior	0.1239931153184164	AlD
0.14825046	0.11964661	0.1793075	Edge prior	0.12952029520295202	AlD
0.14351006	0.11542126	0.17406687	Edge prior	0.13461538461538486	AlD
0.15727273	0.12808368	0.18882176	Edge prior	0.14020036429872554	AlD
0.1460177	0.118141405	0.17626664	Edge prior	0.147358156028369	AlD
0.17427008	0.14369124	0.2071002	Edge prior	0.15495429616087786	AlD
0.1647619	0.13429892	0.19764327	Edge prior	0.16536259541984719	AlD
0.20773381	0.17506252	0.24239628	Edge prior	0.17625225225225213	AlD
0.20537262	0.17342894	0.23925051	Edge prior	0.1886111111111118	AlD
0.19905661	0.16619651	0.2340675	Edge prior	0.20589792060491505	AlD
0.21803853	0.18515763	0.25279	Edge prior	0.22696491228070168	AlD
0.27314815	0.23641822	0.3114696	Edge prior	0.2565306122448978	AlD
0.29962894	0.26171574	0.33895054	Edge prior	0.29999999999999993	AlD
0.33	0.2913424	0.36982867	Edge prior	0.41557377049180333	AlD
2.2271715e-4	2.187967e-7	0.0011186533	Scaled degree	5.280284462269747e-5	AlD
0.004708098	7.849656e-4	0.012050125	Scaled degree	0.0023818297955974866	AlD
0.0043327557	7.222182e-4	0.011091895	Scaled degree	0.003641387562692922	AlD
0.0079113925	0.003312203	0.014457951	Scaled degree	0.004953278995072158	AlD
0.002415459	2.380769e-6	0.012105229	Scaled degree	0.005762456175836036	AlD
0.011270491	0.003928081	0.022356268	Scaled degree	0.006254188769107876	AlD
0.026032316	0.0145026175	0.040771008	Scaled degree	0.007034216376898555	AlD
0.0037936268	6.32141e-4	0.009714786	Scaled degree	0.007799967283012492	AlD
0.003144654	2.2676917e-4	0.009776811	Scaled degree	0.008580710930205336	AlD
0.013909224	0.006549186	0.023945466	Scaled degree	0.00928641251221888	AlD
0.0075225676	0.0031489765	0.013749258	Scaled degree	0.010277655761936632	AlD
0.0082174465	0.0031761262	0.015587486	Scaled degree	0.011447070587201113	AlD
0.016435986	0.0077451975	0.028272923	Scaled degree	0.012119680338917726	AlD
0.012592592	0.005626971	0.022270845	Scaled degree	0.012929391279261388	AlD
0.00862069	0.0014407894	0.022013579	Scaled degree	0.013661362216455211	AlD
0.015815085	0.006130694	0.029913368	Scaled degree	0.013888888888888977	AlD
0.022202486	0.011724104	0.035878606	Scaled degree	0.014461542976473016	AlD
0.016775778	0.010354684	0.024690012	Scaled degree	0.015494187369187291	AlD
0.015895953	0.005550983	0.031471744	Scaled degree	0.016467894524959743	AlD
0.019695044	0.011197942	0.030494139	Scaled degree	0.017230792338139546	AlD
0.018736616	0.011060226	0.028357543	Scaled degree	0.018049601047993212	AlD
0.02833078	0.017036892	0.0423515	Scaled degree	0.018951436818336626	AlD
0.025423728	0.012545935	0.042626925	Scaled degree	0.019524402474379716	AlD
0.01753507	0.010348005	0.02654648	Scaled degree	0.02059107008525582	AlD
0.033936653	0.01434265	0.06144939	Scaled degree	0.02126736111111109	AlD
0.025925925	0.01279573	0.04346235	Scaled degree	0.021575692725522636	AlD
0.027936963	0.01705076	0.041376792	Scaled degree	0.022502814642117078	AlD
0.027602524	0.016328147	0.04168917	Scaled degree	0.0234375	AlD
0.029048208	0.01862447	0.04167133	Scaled degree	0.024162133010176255	AlD
0.025547445	0.00625096	0.057689864	Scaled degree	0.024739583333333377	AlD
0.037001897	0.022629743	0.054691732	Scaled degree	0.025209505043303604	AlD
0.02752881	0.01724915	0.040093407	Scaled degree	0.026000489672364777	AlD
0.042043984	0.029062675	0.057265576	Scaled degree	0.027194482674870426	AlD
0.027675277	0.0116697345	0.05022389	Scaled degree	0.027777777777777696	AlD
0.030555556	0.017767638	0.046624023	Scaled degree	0.02854759327973627	AlD
0.026367188	0.014333169	0.04188856	Scaled degree	0.029361427076538476	AlD
0.039473683	0.025866939	0.05577468	Scaled degree	0.030274278639104066	AlD
0.046095446	0.033525925	0.060527477	Scaled degree	0.03122973594522859	AlD
0.03199269	0.018944962	0.04826989	Scaled degree	0.03202902421652428	AlD
0.03755523	0.02460041	0.053083982	Scaled degree	0.033247295968534964	AlD
0.044594593	0.026021147	0.067813724	Scaled degree	0.033839463828665955	AlD
0.038392857	0.024112819	0.05578671	Scaled degree	0.03477696096700415	AlD
0.041288566	0.030356644	0.053795386	Scaled degree	0.035964779493389866	AlD
0.05076628	0.03363933	0.07114641	Scaled degree	0.03724183261356353	AlD
0.046890423	0.034748014	0.060725324	Scaled degree	0.0386183935139435	AlD
0.02173913	0.0065888567	0.045502074000000003	Scaled degree	0.03949652777777771	AlD
0.05987558	0.04288638	0.07945423	Scaled degree	0.040650554906542104	AlD
0.056468174	0.037773144	0.0786064	Scaled degree	0.04156485768175594	AlD
0.05654102	0.037177533	0.079621315	Scaled degree	0.042451292438271344	AlD
0.05915721	0.041951455	0.079065695	Scaled degree	0.04313151041666688	AlD
0.06868132	0.0490286	0.091322556	Scaled degree	0.04445758473496417	AlD
0.0655058	0.047179516	0.086558186	Scaled degree	0.04539844038390578	AlD
0.0716753	0.052124605	0.094025075	Scaled degree	0.046865613586120715	AlD
0.052058112	0.032792483	0.07542156	Scaled degree	0.047698810005393916	AlD
0.06505848	0.047827363	0.08469571	Scaled degree	0.048780146819586666	AlD
0.06474104	0.04493233	0.08782905	Scaled degree	0.05011504768241257	AlD
0.070378155	0.049188506	0.09498176	Scaled degree	0.05107638888888907	AlD
0.07154882	0.05224486	0.093582064	Scaled degree	0.052176287005808064	AlD
0.08645374	0.06906607	0.105565846	Scaled degree	0.05402497358507901	AlD
